SAQA Qual ID,QUALIFICATION TITLE,QUALIFICATION TYPE,SAQA LINK,NQF LEVEL,CREDITS,QUALITY PARTNER ,ATTACHMENTS
112825,Aids to Navigation Technician,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=112825,NQF Level 4,55,TETA,"Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/afhAhtFhnSzE-0metArh_Q/TV59H9QAiIAts-97MpB4hFv7EeaNr3GMD-lOKpyzt_C4_iU7FQEFGGIcKLOwH5mKnS-h3ag3SuqTx43Trq03tS2zHOMYuB4xgb2MfJe_spj0LvzeFNpATMnt6CEdIIDJLttequPe2cPEL5-jGgkM9u4yWYBXtlorf7iIcPXLzX8/KvJYcpRCGreEn3io6j-v4aDZV3drLijvAkC4W-dumOM),Curriculum Summary Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/QMtIhEXGu8gvYfMt27gsNw/NIjPdXXwsI3KGI8cEgtkH2enk3vPN9mJnpoDploqk26N5-uCPg4weFXZuI6yXHzwZh_DYes2x8u5nczLWGK6HCZoIYDPWcfARERLPJDpG51iA4nwk2iDPH-H4mgET2w8o25AQu_uzdRbh8vNrRwfwYAYbF2GH20sAFJQcM3jMvE/fgbRIHfdYDFuBhK2-TyNfdAQAaaqeJYZRF2ImxuGDME)"
103272,Air Conditioning and Refrigeration Certificate of Conformity Verifier,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=103272,NQF Level 4,142,MERSETA ,"External Assessment Specifications.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/m-lhovUrYVaGftkd6yva_g/d-tlxeeBNpRcTb7II2qMKICW-WzEjhpSlySMbbZ1avEaFtg9wCLedpNqy7ZOG-9Gb9Of2P8n3HNhvQ_ICx8bM6dsvLe7N5wjMEOFsARahkmUd516TDumB544TyhvnJsFYmYFnbANcUIGJLzh4ARLGd6hSYvqU1DdANTXRcUtqsg/3CN2FsX2mg0Banr8nac_-e44UcZBt_NVPGU734igehY),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/h9sG1VZMZii0lCaGcFAFYA/NSAO49XuoOTSES3eIUHZ4iZc_EfshAJxnOBGTh8djcljfdjJK8rZump7y8yrDfmBKwV6F5qnGvN7yhR1E4SPu_Rm6YxqBKlZMx3ha5fFOVSC9L9c0pI5VCe-b4ul-at9x6PwrwScwwLhbji4A7KY3ZoFDT2NIJq8wI3tNDAbYO4/ffRK5YyKOhL9Zzq_z0RPHCKqk9VKYxCA6fcThTzArIY)"
103276,Air Conditioning and Refrigeration Compliance Verifier,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=103276,NQF Level 4,146,MERSETA ,"External Assessment Specifications.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/rPTVFdv-qyLvX9FxCw0YSg/HGv8e-LJS7MHkFiEsoJ234LAl2LJujBv9bHnCeKId9NQz7uFsdH00VFVQE8pJFYW_416F-Swo9yjWsNhv0AVJsdmYv8tBVlwLFipMV9WqsdvATpfogj93bBJeYJOBJ7XI3WsC_1ALcrX7L6QYsPXUYOSADRuufoSYaJPk1IZeVM/Z6RjCpXdBa1qSbukf95AJGLJ3E0So2R_q6-DjV3Zdc8),Air Conditioning and Refrigeration Compliance Verifier-Curriculum Document .pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/Msr5IHpOkbib1IGPLBCoMw/ZFYB3OHVF-ib8J_nJStiWgqVoLaVFLC_MSlyIgtmUDTXBja0SjQobBMKcIucXApRVhH-oP4JrZhMXa5Nj9NL-bXJSUj5By9YBscaF1f7R9xyj02gVPpebtt0A_AwPYoQOQWldpLjrZIa6VkDPKrnyC4Kmd2IL5J0unLXEjbafK3BjI300LyWK9sVX9f_WtpTLHAAxHdLiYFg9muxe-6v2jW1MCDR68M6y4X_lJ7jEQo/HeDd8BKAmQvkqW5tLueJGId4jIZ9GflsbcooMPzUn1g)"
103277,Air Conditioning and Refrigeration Mechanic,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=103277,NQF Level 4,641,NAMB,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/zcZzDHHYi-oBGOcid1GqnQ/vrdySM9eJ8nX15ET367EqV27ZuIareqBeKfHiTUKrFpvgZDSGnkYvwQdSVeBRutBKF-EwdvkCQ1nZwKPo2KrH87aPxX25csn2W5FVlYFfWfr2BcQVG_JlHRrjFVeh-WTRFGgS4jQgQbqEWHZbrGtdXOOBsCJYJm9n5Z1mVsUyzM/5J7FJsrko9f4fMbBWRZIaHWu3fXe8CAKCQZU_Sz9KiY),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/Sxvf8s1eWm3kkzG2JubXqw/3B53k-8ua1U2N4fTETI98CeAJj-VxZYef9iFbocUpllSOG1Uyn1_uSUoDFSkSNoqgevpqwCPrFTMjBk6MLgJhTiFcayQ2X8Xc1bZSaTd_YpiOLSoGWTvSo0NxHm6ZZ3Gch5aqQ4W-WrN0JfvxF18m0MyRrqavi57xN30jIQupAU/KUWnFH20JMArCAduTCo5FqKxLB3JDNM34rFi6FHU1Qs)"
103278,Air Conditioning and Refrigeration Systems Pipework Installer,Occupational Certificate,https://qspe.saqa.org.za/viewQualification.php?id=103278,NQF Level 2,83,MERSETA,"EAS - Air Condidtioning.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/tDHkSuD-IomuX9XqJ0yNWw/-WKem6H8u-UPjCLGdwmRB-OiMn9KVN5V2qskkZizIvBfsELkTCaWkD2bLnAhg7eMHKC40aHak3UMBUJ6LZhk9pfCkSUQ_Wrp0NHzMBUNlKSz013ojE2MHkjjwfYbythasHy07OoQibdSc-uWTZzoEwsZA_TCRJ1OewqK7EKg5Xo/nAHXNgoaJrSghaz9eg6dCIF6bBfD1S39kb-hsFkLkTw),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/6cO-ttSJ7IE7RvPU9Thg9A/hdmS2-ZgFe47j_tFi7ug-gi4ZrXCgDp9gEfI5eOvSs8IHdxsjCm5ALpzSGGzJCnOZHijujvhiMsCQvNYxneGYPxha21r-jqeB3Klq8zts__0t09xS-ZSN0D1DkwAwIhOSGOfrF6GM3sMIjWBjkVoO3Vxz6BrY0ei0JXf9EgxNrQ/fLA8WQDUbhY3YfXf6Jri7hMOTselg4rKJbJ7YMUkM2Y)"
104618,Air Conditioning Filtration Equipment Worker,Occupational Certificate,https://qspe.saqa.org.za/viewQualification.php?id=104618,NQF Level 3,61,MERSETA ,
122010,"Air Quality
  Authorisation and Management Specialist","Occupational
  Certificate",https://allqs.saqa.org.za/showQualification.php?id=122010,NQF Level 7,88,LGSETA ,"EASDocument.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/M-xjUXLfME0vWXoalAal0A/3zyvBzI0yjAYE7bTqhnmhzVQVTH403iiIeZzzODxEpeUTn-Di3QiFJga9Wv9EHabREFFaqdNMgdlKw3xd0nfGPt9fci1bsuwtTbixQdr8J3pCw-DIV-EZ52w3zwxojnP7PJYFrfCW8BZKKanpWuvWsRsala426cglY23G9tQkzg/g23PiuP9jpJfEiatI0ezAFewCrjov4vAis7-yt8Y598),CurriculumDocumentwithsignedcoverpage.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/_aKqNNC2F1CC6ofFYydkYA/l9iZfUxL3GerFVO2sYLQjMilS9yVo-W0XA3-ew6ZE915iLPvz25pEyCWh_vbmEqK1nDzISPM_cNFq9FXmUrfte7IKiLSfhrvQ8ww2AULVK9XSSt00FZVZK1t87hyJTgzvxJ9et_9P8E6CRe1295p0f3QExbsRrFJDEO2l2TRd3swg6UWcclJAGzn0GDp8F1T/DjBvJ3lzWISWFHFAZ0AgcDsiZlSNbavYjVJtJTf5Uy0)"
122009,"Air Quality
  Policy and Planning Specialist","Occupational
  Certificate",https://allqs.saqa.org.za/showQualification.php?id=122009,NQF Level 7,28,LGSETA ,"EASDocument.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/zMfrUtTLvSsz53Mznx7O9w/JzxcKP2YPzf8ZIF2w6YIaUjPpWLeKGZxp_GACtWQDwsqoInB7tDVExEDQSvZ4M3guby3ZGOqQcO5d-b4fuKFP2eLCSXAZWHjbctntVyOmMxbi-ECgOTl0m1pzA9J4B63LlGL6Gp4ceu2domy69tc0X-_Ur6ikFfbjO6zrBUgMjo/PtEGgnQ-tey36vLJR1NYF9n2CgZj7V_VbmIfkfZEMXI),CurriculumDocumentwithsignedcoverpage.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/TyKRvPOeqVW9O80t1FwNhg/f38vmEoLuMDHztg0A8Ps93gpXvf5a8jjezuxRNQV-Bm8F7_ooPzni9d3RTwG1RWW9WdffWVtwWTwah9tBsj_yQVHJUW9Sz4mnjKpg31muqCgwgeHrpa_WAkWMVoHcwHXOmwcNQTWxr3tMmrkmyVotXfnz2fEJ7oaaE1nR2_eZXUeDco3WGp5bdA7o1LziaSJ/B9aJ1R_2Cyrrghp_DUAH2cQ2PlQHM3JYWgMKA87gcBQ)"
122008,Air Quality Analyst,Occupational Certificate,https://regqs.saqa.org.za/viewQualification.php?id=122008,NQF Level 7,120,LGSETA ,"EAS Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/q4PmNhEU_40wV66aer9K0A/4ItZUq07k0xWKRKRzqZcegASuhoA5gA81siW524kPILCXQP_70fAqjUlrGjWce1u2sJNYgH3Waa7vyQBFG4f8kmUvzOFqlpFi1GtVPQPCR1ycayu8rJGgweVns9GPL01kGZSVXVD-G_160A9TBEk6Pp8YGt73ZBFZcglkV0I49E/7mgB1ENyyZihwwUCcFdRfjpAWNvyevrZxQRSDlSgE3A),Curriculum Document with signed cover page.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/_X_JdTXcBlmvEZXvPb_YIA/8kHNBWQppg3niYs-9x7zafspM_7m1FznzGC1DJoVGXEjCFApupNgEB2XOhyh7Iwy3ySJA5qxnw6-8bRrKfpIk67q9MAV32MiwrcxFkrS6YOgBzb8m8cw310t3ZiF9SHa8QYeVz-EzHU2y366cFNNQ5o_Got6SaPzemTwgWg9yp5A6yQqPnFZP793m3skZ_Dm/P-MIDJG5WTJ-JZqnBf2yPyfa5r4nhc6NyCyX8Hg-jFQ)"
122011,Air Quality Monitoring and Information Management Specialist,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=122011,NQF Level 7,92,LGSETA ,"EASDocument.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/9dqxVBeU6xwhawWDlPFkkw/9u0VN8cq2Zn26ma1phZdWITUS1sQYIo_w3zQKcEdTGBn-guc-JgqQkB-LljKof4z-qZq8DnqjkIWWJTMmtzJK5cc4nM5RyQO_6NRikAjvc6yqkN2mg7tCUWr2xLa9UjFUlVGwOcciwUmuY_LPUkeqzxq8ycwVUxkkqriGU8rMpo/5EheyTchvSJwCNMF2wPfZyfFzU-zV3DzpkrfHMF6uRk),CurriculumDocumentwithsignedcoverpage.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/1F4bch7A0K2_sjMUjGn79Q/Nx8yiKO0vgwmRFTveaRahEg_1pKNubhET02xSYuJsUEnWZlv59j7xoHuqR6-3v9D1jC1VkaN2x6_reTtpXWLmcQW-EXYJrdAyBdgt9-VFPrwDitS1s2X-KtcRtR1GFoD9VHpZ_7QLazgXuu1Jplg2SdxI7w1Wmjj64yDVdY7p87hRdB31IpU7mqtboeeJXsw/elUk89mrjqa8ndC0_dertxq5iz6FJaWyeCj0A_PHHYc)"
